485027,2018-05-08,31.215.89.150,Wordpress,United Arab Emirates,AdNet Telecom
485026,2018-05-08,186.58.165.180,Wordpress,Argentina,Telefonica de Argentina
485025,2018-05-08,186.133.145.114,Wordpress,Argentina,Telefonica de Argentina
485024,2018-05-08,83.34.2.76,Wordpress,Spain,Telefonica de Espana
485023,2018-05-08,41.107.60.141,Wordpress,Algeria,Algerie Telecom - FAWRI
485022,2018-05-08,41.98.64.95,Wordpress,Algeria,Algerie Telecom - FAWRI
485021,2018-05-08,49.183.88.61,Wordpress,Australia,Optus Internet Pty Ltd
485020,2018-05-08,27.49.237.0,Wordpress,India,M/s Ortel Communications Limited
485019,2018-05-08,59.92.217.7,Wordpress,India,DATA NETWORKS
485018,2018-05-08,85.238.77.81,Wordpress,Hungary,Tvnetwork Inc.
485017,2018-05-08,171.224.66.31,SSH,Vietnam,Viettel Corporation
485016,2018-05-08,190.129.99.116,SSH,Bolivia,Entel S.A. - EntelNet
485015,2018-05-08,190.214.235.46,SSH,Ecuador,EasyNet S.A.
485014,2018-05-08,39.49.168.32,Wordpress,Pakistan,Pakistan Telecommuication company limited
485013,2018-05-08,94.185.26.163,Wordpress,Oman,Omani Qatari Telecommunications Company SAOC
485012,2018-05-08,117.220.130.60,Wordpress,India,NIB (National Internet Backbone)
485011,2018-05-08,182.77.102.59,Wordpress,India,Bharti Broadband
485010,2018-05-08,178.153.253.120,Wordpress,Qatar,Qtel
485009,2018-05-08,49.206.112.32,Wordpress,India,Beam Telecom Pvt Ltd
485008,2018-05-08,78.160.46.141,Wordpress,Turkey,Turk Telekom
485007,2018-05-08,79.178.239.37,Wordpress,Israel,Bezeq International-Ltd
485006,2018-05-08,106.71.224.40,Wordpress,Australia,Optus Internet Pty Ltd
485005,2018-05-08,119.154.134.44,Wordpress,Pakistan,PTCL
485004,2018-05-08,203.115.101.171,Wordpress,India,PRIMENET GLOBAL LTD.
485003,2018-05-08,93.34.95.190,Wordpress,Italy,Fastweb
485002,2018-05-08,121.211.83.238,Wordpress,Australia,Telstra Internet
485001,2018-05-08,212.15.177.121,Wordpress,Croatia,GSM and Internet Service Provider
485000,2018-05-08,5.23.123.89,Wordpress,Turkey,RIPE Network Coordination Center
484999,2018-05-08,218.227.74.103,SSH,Japan,NEC BIGLOBE Ltd.
484998,2018-05-08,196.75.46.64,Wordpress,n/a,
484997,2018-05-08,41.68.78.214,Wordpress,Egypt,RAYA Telecom
484996,2018-05-08,90.88.115.74,Wordpress,France,Offer France Telecom
484995,2018-05-08,183.14.133.193,SSH,China,ChinaNet Guangdong Province Network
484994,2018-05-08,123.20.120.230,SSH,Vietnam,VietNam Post and Telecom Corporation
484993,2018-05-08,222.252.47.157,SSH,Vietnam,Hanoi Post and Telecom Company
484992,2018-05-08,115.85.72.230,SSH,Indonesia,PT ARTHA TELEKOMINDO
484991,2018-05-08,122.53.230.2,Wordpress,Philippines,This space has been assigned as STATIC
484990,2018-05-08,59.97.246.166,Wordpress,India,Broadband Multiplay Project. O/o DGM BB. NOC BSNL
484989,2018-05-08,182.253.154.65,Wordpress,Indonesia,Biznet ISP
484988,2018-05-08,105.158.98.128,Wordpress,Morocco,Maroc Telecom
484987,2018-05-08,186.146.1.243,SSH,Colombia,Telmex Colombia S.A.
484986,2018-05-08,176.203.204.164,Wordpress,Qatar,Qtel
484985,2018-05-08,146.255.182.156,Wordpress,Estonia,Elisa Eesti AS
484984,2018-05-08,159.148.186.25,Wordpress,Latvia,IT4U IT risinajumu centrs SIA
484983,2018-05-08,77.104.218.13,Wordpress,Czech Republic,Customers in Pilsner
484982,2018-05-08,112.200.239.35,Wordpress,Philippines,Philippine Long Distance Telephone
484981,2018-05-08,177.144.137.114,SSH,Brazil,
484980,2018-05-08,197.200.176.73,Wordpress,Algeria,Telecom Algeria
484979,2018-05-08,190.241.201.28,Wordpress,Costa Rica,RADIGRAFICA COSTARRICENSE
484978,2018-05-08,143.137.144.222,SSH,n/a,
